company_name,ratings,reviews,company_type,Employee,Headquarters
Sterlite Technologies,3.8,2k,Hardware & Networking,1k-5k Employees,Pune +80 more
Shree Cement,4.0,2k,Building Material,5k-10k Employees,Kolkata +202 more
Kyndryl,4.1,2k,IT Services & Consulting,10k-50k Employees,New York +26 more
Exide Industries,3.6,2k,Auto Components,5k-10k Employees,Kolkata +187 more
Ola Cabs,3.5,1.9k,Internet,1k-5k Employees,Bangalore +97 more
Yazaki,3.9,1.9k,Auto Components,10k-50k Employees,Tokyo +69 more
Radisson Hotels,4.1,1.9k,Hospitality,5k-10k Employees,Minnetonka +104 more
Dalmia Bharat Cement,4.1,1.9k,Building Material,5k-10k Employees,Delhi/NCR +208 more
Himalaya Wellness,4.2,1.9k,Pharma,5k-10k Employees,San Francisco +197 more
Quest Global,3.7,1.9k,IT Services & Consulting,10k-50k Employees,Singapore +35 more
Lifestyle,4.4,1.9k,Retail,10k-50k Employees,Bangalore/Bengaluru +114 more
IKS Health,3.6,1.9k,Healthcare,5k-10k Employees,Mumbai +16 more
Eureka Forbes,3.9,1.9k,Consumer Electronics & Appliances,1k-5k Employees,Mumbai +163 more
Ajanta Pharma,4.1,1.9k,Pharma,5k-10k Employees,Mumbai +97 more
Blue Star,4.1,1.9k,Consumer Electronics & Appliances,1k-5k Employees,Mumbai +134 more
ACT Fibernet,4.0,1.9k,Telecom,5k-10k Employees,Bengaluru/Bangalore +42 more
Motilal Oswal Financial Services,3.8,1.9k,Financial Services,10k-50k Employees,Mumbai +129 more
XpressBees,3.8,1.9k,Logistics,5k-10k Employees,Pune +239 more
Aditya Birla Group,4.1,1.9k,Building Material,1 Lakh+ Employees,Mumbai +224 more
Sonalika Tractors,3.8,1.9k,Automobile,1k-5k Employees,Hoshiarpur +152 more
Extramarks Education,3.5,1.9k,EdTech,1k-5k Employees,Noida +102 more
DS Group,4.1,1.9k,FMCG,1k-5k Employees,Noida +210 more
Nokia Networks,4.3,1.8k,Hardware & Networking,501-1k Employees,Chennai +85 more
Life Insurance Corporation of India,4.4,1.8k,Insurance,1 Lakh+ Employees,Mumbai +418 more
Mahindra Rural Housing Finance,4.1,1.8k,NBFC,10k-50k Employees,Mumbai +414 more
Cholamandalam MS General Insurance,3.9,1.8k,Insurance,1k-5k Employees,Chennai +331 more
Zomato,3.8,1.9k,Internet,1k-5k Employees,Gurgaon +182 more
Mahindra Logistics,4.1,1.9k,Logistics,1k-5k Employees,Mumbai +133 more
Delhi Public School,3.9,1.8k,Education & Training,1k-5k Employees,Greater Noida +237 more
Indus Towers,4.0,1.8k,Telecom,1k-5k Employees,Gurgaon +160 more
PVR Cinemas,4.1,1.8k,Media & Entertainment,1k-5k Employees,Gurgaon +108 more
Future Retail,4.3,1.8k,Retail,10k-50k Employees,San Francisco +198 more
JMC Projects,4.2,1.8k,Engineering & Construction,1k-5k Employees,Mumbai +118 more
Ninjacart,4.1,1.8k,Internet,1k-5k Employees,Bangalore +95 more
Emcure Pharmaceuticals,3.8,1.8k,Pharma,5k-10k Employees,Pune +97 more
Rivigo,3.9,1.8k,Internet,1k-5k Employees,Gurgaon +151 more
SRF,4.3,1.8k,Chemicals,5k-10k Employees,Gurgaon/Gurugram +47 more
Myntra,4.0,1.8k,Internet,1k-5k Employees,Bangalore +97 more
V-Mart,4.3,1.8k,Retail,5k-10k Employees,Gurgaon/Gurugram +240 more
Kalpataru Power Transmission,4.2,1.8k,Engineering & Construction,1k-5k Employees,Mumbai +213 more
Parle Agro,4.2,1.8k,Beverage,5k-10k Employees,Mumbai +195 more
Datamatics Global Services,3.6,1.8k,IT Services & Consulting,5k-10k Employees,Mumbai +28 more
Movate,3.4,1.8k,IT Services & Consulting,1k-5k Employees,Plano +29 more
Kansai Nerolac Paints,3.9,1.8k,Chemicals,1k-5k Employees,Mumbai +184 more
Renault-Nissan,4.1,1.8k,Automobile,10k-50k Employees,Chennai +79 more
Pfizer,4.1,1.8k,Pharma,1k-5k Employees,Chennai +115 more
Tata Teleservices,4.1,1.7k,Telecom,201-500 Employees,Mumbai +146 more
Fujitsu,3.9,1.8k,IT Services & Consulting,5k-10k Employees,Bangalore/Bengaluru +29 more
Mahindra Holidays & Resorts,3.6,1.7k,Hospitality,5k-10k Employees,Mumbai +95 more
VVDN Technologies,3.7,1.8k,IT Services & Consulting,5k-10k Employees,Gurgaon +33 more
Indian Railways,4.2,1.7k,Railways,1 Lakh+ Employees,Delhi/NCR +209 more
MSN Laboratories,3.8,1.7k,Pharma,10k-50k Employees,Hyderabad/Secunderabad +70 more
3i Infotech,3.6,1.7k,IT Services & Consulting,1k-5k Employees,Mumbai +109 more
BHEL,4.2,1.7k,Electrical Equipment,10k-50k Employees,Bangalore/Bengaluru +100 more
KPMG Global Services,3.7,1.8k,No information available,No information available,No information available
Raymond,4.1,1.7k,Fashion & Textile,5k-10k Employees,New York +129 more
ICICI Securities,3.8,1.7k,Financial Services,1k-5k Employees,Mumbai +124 more
Reliance Trends,4.4,1.7k,Retail,1 Lakh+ Employees,Navi Mumbai +341 more
Blinkit,3.9,1.7k,Internet,1k-5k Employees,Gurgaon +64 more
Cybage,3.9,1.7k,IT Services & Consulting,5k-10k Employees,Pune +9 more
Ambuja Cements,4.0,1.7k,Building Material,5k-10k Employees,Mumbai +199 more
JCB,4.0,1.7k,Industrial Machinery,1k-5k Employees,Rocester +93 more
Cadila Pharmaceuticals,3.6,1.7k,Pharma,5k-10k Employees,Ahmedabad +116 more
suzuki motor gujarat,4.3,1.7k,No information available,No information available,No information available
Info Edge,4.1,1.7k,Internet,5k-10k Employees,Noida +59 more
Shell,4.3,1.7k,Oil & Gas,10k-50k Employees,London +75 more
GlaxoSmithKline Pharmaceuticals,4.2,1.7k,Pharma,1k-5k Employees,Brentford +183 more
Foundever,3.8,1.7k,BPO,5k-10k Employees,Miami +16 more
Poonawalla Fincorp,3.9,1.6k,NBFC,1k-5k Employees,Mumbai +249 more
ZS,3.4,1.7k,Management Consulting,5k-10k Employees,Evanston +12 more
PhonePe,4.1,1.7k,FinTech,5k-10k Employees,Bangalore +239 more
Whirlpool,4.1,1.7k,Consumer Electronics & Appliances,1k-5k Employees,Michigan +141 more
Bharat Petroleum,4.2,1.7k,Oil & Gas,5k-10k Employees,Mumbai +223 more
Tata Elxsi,4.0,1.7k,IT Services & Consulting,5k-10k Employees,Bangalore/Bengaluru +25 more
Jindal Stainless,4.3,1.7k,Iron & Steel,1k-5k Employees,Delhi/NCR +58 more
Endurance Technologies,3.9,1.6k,Auto Components,1k-5k Employees,Aurangabad +38 more
NoBroker,3.2,1.7k,Internet,1k-5k Employees,Bangalore +37 more
Force Motors,3.6,1.6k,Automobile,1k-5k Employees,Pune +87 more
ITC Hotels,4.2,1.6k,Hospitality,5k-10k Employees,Kolkata +77 more
Fincare Small Finance Bank,4.1,1.6k,Banking,10k-50k Employees,Bangalore +362 more
Shahi Exports,4.1,1.6k,Retail,1 Lakh+ Employees,Faridabad +60 more
Syngene International,4.0,1.6k,Pharma,1k-5k Employees,Bangalore/Bengaluru +14 more
GVK Emergency Management and Research Institute,3.8,1.6k,Non-Profit,10k-50k Employees,Hyderabad/Secunderabad +151 more
Delphi TVS,4.1,1.6k,Auto Components,1k-5k Employees,Kanchipuram +37 more
Bharti AXA Life Insurance,3.9,1.6k,Insurance,1k-5k Employees,Mumbai +219 more
Kalyan Jewellers,4.7,1.6k,Jewellery,5k-10k Employees,Bangalore / Bengaluru +132 more
Sobha,4.0,1.6k,Real Estate,1k-5k Employees,Bangalore/Bengaluru +36 more
Care Health Insurance,3.8,1.6k,Internet,5k-10k Employees,Gurgaon +197 more
Brakes India,4.1,1.6k,Auto Components,501-1k Employees,Chennai +74 more
Lodha group,4.1,1.6k,Real Estate,5k-10k Employees,Mumbai +24 more
Aavas Financiers,4.0,1.6k,Financial Services,5k-10k Employees,Jaipur +237 more
HCL Infosystems,4.0,1.6k,IT Services & Consulting,51-200 Employees,Noida +107 more
Citicorp,3.7,1.7k,Financial Services,10k-50k Employees,Mumbai +23 more
Sterling & Wilson,4.2,1.6k,Engineering & Construction,501-1k Employees,Mumbai +100 more
Dhani Loans and Services,3.9,1.6k,NBFC,1k-5k Employees,New Delhi +179 more
Bureau Veritas,4.0,1.6k,Other,1k-5k Employees,Paris La Défense +113 more
CAMS,3.7,1.6k,IT Services & Consulting,5k-10k Employees,Chennai +97 more
Sopra Steria,4.0,1.6k,IT Services & Consulting,5k-10k Employees,Paris +15 more
KENT RO Systems,4.1,1.6k,Consumer Electronics & Appliances,1k-5k Employees,Noida +140 more
Gallagher,3.9,1.6k,Insurance,10k-50k Employees,Rolling Meadows +16 more
Unacademy,3.3,1.6k,EdTech,1k-5k Employees,Bangalore +57 more
Varroc Group,3.8,1.6k,Auto Components,1k-5k Employees,Aurangabad +34 more
Coromandel International,4.2,1.6k,Agro Chemicals,5k-10k Employees,Hyderabad/Secunderabad +146 more
Future Generali India Life Insurance,3.8,1.6k,Insurance,1k-5k Employees,Mumbai +173 more
Canara HSBC Life Insurance,3.7,1.6k,Insurance,5k-10k Employees,Gurgaon/Gurugram +247 more
Allsec Technologies,4.1,1.6k,BPO,1k-5k Employees,Chennai +26 more
Cisco,4.3,1.6k,Hardware & Networking,10k-50k Employees,San Jose +36 more
Tata Motors Finance,4.2,1.5k,NBFC,1k-5k Employees,Mumbai +225 more
RMSI,3.8,1.6k,IT Services & Consulting,1k-5k Employees,Noida +13 more
Power Mech Projects,3.9,1.5k,Engineering & Construction,1k-5k Employees,Hyderabad/Secunderabad +118 more
Star Health & Allied Insurance,3.9,1.5k,Insurance,10k-50k Employees,Chennai +251 more
café Coffee day,4.0,1.5k,Hospitality,1k-5k Employees,Bengaluru +92 more
Adani Wilmar,4.2,1.5k,FMCG,1k-5k Employees,Ahmedabad +155 more
IntouchCX,3.0,1.6k,BPO,5k-10k Employees,Winnipeg +17 more
JK Tyres,3.8,1.5k,Auto Components,1k-5k Employees,New Delhi +131 more
Gabriel India,4.2,1.5k,Auto Components,1k-5k Employees,Pune +40 more
KIA MOTORS,3.9,1.5k,Automobile,1k-5k Employees,Seoul +138 more
Straive,3.5,1.5k,Analytics & KPO,10k-50k Employees,Singapore +24 more
DBS Bank,3.9,1.6k,Banking,5k-10k Employees,Hyderabad/Secunderabad +143 more
Lucas-TVS,4.0,1.5k,Auto Components,5k-10k Employees,Chennai +62 more
Bank of Baroda,3.6,1.5k,Banking,50k-1 Lakh Employees,Vadodara/Baroda +246 more
Planet Spark,3.7,1.5k,EdTech,51-200 Employees,Gurgaon +41 more
Laurus Labs,4.2,1.5k,Pharma,5k-10k Employees,Hyderabad/Secunderabad +15 more
Sify Technologies,4.0,1.5k,IT Services & Consulting,1k-5k Employees,Chennai +107 more
Hero FinCorp,4.2,1.5k,NBFC,1k-5k Employees,Delhi +324 more
ValueLabs,3.9,1.5k,IT Services & Consulting,5k-10k Employees,Hyderabad/Secunderabad +16 more
Hindustan Aeronautics,4.4,1.5k,Defence & Aerospace,10k-50k Employees,Bangalore/Bengaluru +47 more
Adani Power,3.9,1.5k,Power,1k-5k Employees,Ahmedabad +85 more
Indian Navy,4.6,1.5k,Defence & Aerospace,50k-1 Lakh Employees,Delhi/NCR +58 more
Parle Products,4.0,1.5k,Food Processing,1k-5k Employees,Mumbai +192 more
ABC,4.0,1.6k,Broadcasting,1k-5k Employees (Global),New York +104 more
Akums Drugs & Pharmaceuticals Limited,4.2,1.6k,Pharma,10k-50k Employees,Delhi/NCR +28 more
Thomson Reuters,4.2,1.5k,Software Product,5k-10k Employees,Toronto +24 more
upGrad,3.8,1.5k,EdTech,5k-10k Employees,San Francisco +38 more
ESAF Microfinance & Investments (P),3.9,1.5k,Financial Services,1k-5k Employees,Thrissur/Trichur +291 more
Taurus BPO Services,4.6,1.4k,BPO,1k-5k Employees,Pune +14 more
Uflex,3.8,1.5k,Packaging,5k-10k Employees,Noida +42 more
Intellect Design Arena,4.1,1.5k,FinTech,5k-10k Employees,Chennai +27 more
AECOM,4.3,1.5k,Engineering & Construction,1k-5k Employees,Dallas +106 more
SAP,4.3,1.5k,Software Product,10k-50k Employees,Walldorf +45 more
TVS Sundram Fasteners,3.8,1.5k,Auto Components,1k-5k Employees,Chennai +42 more
Citibank,4.0,1.5k,Banking,10k-50k Employees (Global),New York +47 more
CMA CGM,4.0,1.3k,Ports & Shipping,501-1k Employees,Marseille +24 more
Cargill,4.2,1.5k,Food Processing,1k-5k Employees,Wayzata +91 more
Google,4.4,1.6k,Internet,10k-50k Employees,Hyderabad / Secunderabad +80 more
Microsoft Corporation,4.1,1.5k,Software Product,10k-50k Employees,Hyderabad / Secunderabad +44 more
IDBI Bank,3.7,1.4k,Banking,10k-50k Employees,Mumbai +283 more
SGS,4.0,1.4k,1k-5k Employees,Forbes Global 2000,Geneva +112 more
Reliance General Insurance,3.9,1.4k,Insurance,5k-10k Employees,Mumbai +173 more
Dr Lal PathLabs,4.2,1.4k,Healthcare,1k-5k Employees,Gurgaon/Gurugram +156 more
Honda,4.2,1.4k,Automobile,10k-50k Employees,Greater Noida +199 more
Novartis,4.1,1.4k,Pharma,1k-5k Employees,Switzerland +67 more
Optum Global Solutions,4.2,1.5k,IT Services & Consulting,10k-50k Employees,Gurgaon / Gurugram +14 more
Renault Nissan Technology & Business Centre India,3.9,1.5k,IT Services & Consulting,5k-10k Employees,Chennai +13 more
L&T Energy Hydrocarbon,3.9,1.4k,Engineering & Construction,5k-10k Employees,Mumbai +70 more
TCE,3.8,1.4k,Engineering & Construction,5k-10k Employees,Mumbai +102 more
Kotak Securities,3.7,1.4k,Financial Services,5k-10k Employees,Mumbai +117 more
Meesho,3.7,1.4k,Internet,5k-10k Employees,Bengaluru/Bangalore +100 more
Xoriant,3.9,1.4k,IT Services & Consulting,1k-5k Employees,Sunnyvale +19 more
YASH Technologies,3.8,1.4k,IT Services & Consulting,5k-10k Employees,East Moline +21 more
Narayana Health,4.2,1.4k,Healthcare,10k-50k Employees,Bangalore/Bengaluru +59 more
Honeywell Automation,3.8,1.4k,Consumer Electronics & Appliances,10k-50k Employees,Morris Plains +65 more
AXA Business Services,3.8,1.4k,Insurance,501-1k Employees,Paris +9 more
Big Bazaar,4.3,1.4k,Retail,10k-50k Employees,Mumbai +157 more
SBI General Insurance,3.8,1.4k,Insurance,5k-10k Employees,Mumbai +211 more
Spark Minda,3.9,1.4k,Auto Components,1k-5k Employees,Gurgaon +63 more
BA Continuum,4.3,1.4k,NBFC,1k-5k Employees,Gurgaon/Gurugram +15 more
Apollo Pharmacy,3.9,1.4k,Pharma,10k-50k Employees,Chennai +210 more
Vedantu,3.4,1.4k,EdTech,1k-5k Employees,Bangalore +53 more
Wockhardt,3.9,1.4k,Pharma,5k-10k Employees,Mumbai +77 more
MetLife,4.3,1.4k,Insurance,1k-5k Employees,New York +39 more
Philips,3.9,1.4k,Consumer Electronics & Appliances,5k-10k Employees,Amsterdam +85 more
CMS Infosystems,3.7,1.4k,IT Services & Consulting,5k-10k Employees,Mumbai +170 more
Tata Play,4.0,1.4k,Broadcasting,5k-10k Employees,Mumbai +196 more
Biological E,4.3,1.4k,Biotechnology,1k-5k Employees,Hyderabad/Secunderabad +47 more
Niva Bupa Health Insurance Company,3.7,1.4k,Insurance,5k-10k Employees,Delhi/NCR +188 more
NCR Corporation,4.1,1.4k,IT Services & Consulting,5k-10k Employees,Atlanta +80 more
Vardhman Fabrics,4.1,1.4k,Fashion & Textile,10k-50k Employees,Ludhiana +57 more
Crisil,3.7,1.4k,Financial Services,1k-5k Employees,Mumbai +57 more
Aragen Life Sciences,4.1,1.4k,Pharma,1k-5k Employees,Hyderabad/Secunderabad +19 more
G R Infraprojects,4.2,1.4k,Engineering & Construction,10k-50k Employees,Gurgaon/Gurugram +134 more
Exl India,3.6,1.4k,IT Services & Consulting,11-50 Employees,New Delhi +27 more
Safexpress,4.1,1.4k,Logistics,1k-5k Employees,Delhi/NCR +142 more
Frankfinn Institute of Air Hostess Training,4.0,1.4k,Education & Training,1k-5k Employees,Gurgaon/Gurugram +58 more
Innovsource Services,4.0,1.4k,Recruitment,1k-5k Employees,Mumbai +199 more
Microland,3.6,1.4k,IT Services & Consulting,1k-5k Employees,Bangalore +40 more
Allstate,4.0,1.4k,Insurance,5k-10k Employees,Bangalore/Bengaluru +9 more
Panasonic Life Solutions India,4.1,1.4k,Consumer Electronics & Appliances,10k-50k Employees,Gurgaon / Gurugram +109 more
SBI Securities,3.9,1.4k,Financial Services,5k-10k Employees,Mumbai +226 more
Amazon Transportation Services,4.1,1.3k,Logistics,1k-5k Employees,Seattle +132 more
R.R. Donnelley,4.0,1.3k,Marketing & Advertising,5k-10k Employees,Chicago +12 more
Angel One,3.9,1.4k,Financial Services,1k-5k Employees,Mumbai +115 more
Metro Cash & Carry,4.3,1.4k,Retail,1k-5k Employees,Bangalore/Bengaluru +78 more
PHN Technology,4.6,1.3k,No information available,No information available,No information available
Matrimony.com,4.4,1.4k,Internet,1k-5k Employees,Chennai +51 more
SS&C TECHNOLOGIES,3.5,1.4k,IT Services & Consulting,5k-10k Employees,Windsor Locks +25 more
Bharat Financial Inclusion,4.1,1.6k,NBFC,10k-50k Employees,Hyderabad +346 more
Reckitt Benckiser,4.0,1.4k,FMCG,1k-5k Employees,Slough +115 more
Bhushan Power & Steel,4.0,1.3k,Iron & Steel,5k-10k Employees,Delhi/NCR +51 more
CitiusTech,3.5,1.4k,IT Services & Consulting,1k-5k Employees,New Jersey +14 more
USV,4.1,1.3k,Pharma,1k-5k Employees,Mumbai +91 more
Aditya Birla Capital,4.0,1.4k,Financial Services,10k-50k Employees,Mumbai +191 more
Motherson Automotive Technologies and Engineering,4.0,1.3k,Auto Components,501-1k Employees,Noida +54 more
Adecco Group,3.8,1.3k,Recruitment,1k-5k Employees,Zurich +126 more
Procter & Gamble,4.2,1.3k,FMCG,1k-5k Employees,Cincinnati +209 more
Dainik Bhaskar Group,4.4,1.3k,Printing & Publishing,5k-10k Employees,Bhopal +132 more
XL Dynamics,3.2,1.3k,IT Services & Consulting,1k-5k Employees,Navi Mumbai +27 more
Yamaha Motor,4.2,1.3k,Automobile,1k-5k Employees,Iwata +127 more
USHA International,4.2,1.3k,Consumer Electronics & Appliances,1k-5k Employees,Gurgaon/Gurugram +113 more
Cavinkare,4.0,1.3k,FMCG,1k-5k Employees,Chennai +150 more
Team Computers,3.7,1.3k,IT Services & Consulting,1k-5k Employees,Delhi/NCR +86 more
HERE Technologies,3.8,1.3k,IT Services & Consulting,1k-5k Employees,Eindhoven +14 more
Mercedes-Benz Research & Development India,4.0,1.4k,IT Services & Consulting,5k-10k Employees,Bengaluru/Bangalore +49 more
NTPC,4.3,1.3k,10k-50k Employees,Fortune India 500,Delhi/NCR +104 more
KONE,4.3,1.3k,Industrial Machinery,5k-10k Employees,Chennai +65 more
Isgec Heavy Engineering,3.9,1.3k,Industrial Machinery,1k-5k Employees,Noida +69 more
DHL Supply Chain,4.3,1.3k,Logistics,1k-5k Employees,Bonn +78 more
Torrent Power,3.8,1.3k,Power,5k-10k Employees,Ahmedabad +39 more
PI Industries,4.2,1.3k,Agro Chemicals,1k-5k Employees,Gurgaon/Gurugram +88 more
Mother Dairy Fruit & Vegetable,4.2,1.3k,Food Processing,1k-5k Employees,Noida +113 more
Honda Cars,4.4,1.3k,Automobile,5k-10k Employees,Alwar +91 more
Oberoi Group of Hotels,4.2,1.3k,Hospitality,1k-5k Employees,Delhi/NCR +31 more
Honeywell Technology Solutions,3.9,1.3k,Defence & Aerospace,10k-50k Employees,Bangalore/Bengaluru +19 more
DIVI'S Laboratories,3.9,1.3k,Healthcare,10k-50k Employees,Hyderabad/Secunderabad +23 more
Chegg,4.2,1.3k,EdTech,501-1k Employees,Santa Clara +63 more
Saint-Gobain,4.0,1.3k,Building Material,10k-50k Employees,Paris +92 more
Haier Appliances India,4.1,1.3k,Consumer Electronics & Appliances,1k-5k Employees,Qingdao +110 more
Johnson & Johnson,4.2,1.3k,Pharma,1k-5k Employees,New Brunswick +139 more
Sigma Electric Manufacturing Corporation,4.0,1.3k,Industrial Machinery,1k-5k Employees,Garner +20 more
Paisabazaar.com,3.6,1.3k,Internet,1k-5k Employees,Gurgaon/Gurugram +22 more
Jindal Saw,4.1,1.3k,Building Material,5k-10k Employees,Delhi/NCR +64 more
Credit Suisse,4.2,1.3k,Financial Services,10k-50k Employees,Zurich +10 more
Arvind Group,4.1,1.3k,Fashion & Textile,10k-50k Employees,Ahmedabad +82 more
Max Fashion,4.2,1.3k,Retail,10k-50k Employees,Abu Dhabi +137 more
Verizon,4.1,1.3k,Telecom,5k-10k Employees,New York City +11 more
Tata Communications Transformation Services,4.1,1.3k,Hardware & Networking,1k-5k Employees,Mumbai +83 more
Hyatt Regency,4.2,1.3k,Hospitality,1k-5k Employees,New Delhi +44 more
Daikin,4.2,1.3k,Consumer Electronics & Appliances,1k-5k Employees,Osaka City +90 more
Star Union Dai-ichi Life Insurance,3.9,1.3k,Insurance,1k-5k Employees,Navi Mumbai +231 more
V-Guard Industries,4.4,1.3k,Consumer Electronics & Appliances,1k-5k Employees,Kochi/Cochin +131 more
Medi Assist India,3.8,1.3k,Insurance,5k-10k Employees,Bangalore +54 more
DHL Express,4.1,1.3k,Logistics,1k-5k Employees,Bonn +84 more
Globiva,3.2,1.3k,BPO,1k-5k Employees,Gurgaon/Gurugram +19 more
Exela Technologies,3.5,1.3k,IT Services & Consulting,1k-5k Employees,Irving +21 more
Haldiram Foods,4.0,1.3k,FMCG,1k-5k Employees,Nagpur +123 more
FactSet,4.0,1.3k,Financial Services,1k-5k Employees,Norwalk +15 more
Nuvoco Vistas,4.2,1.3k,Building Material,1k-5k Employees,Mumbai +141 more
Tata Group,4.3,1.3k,IT Services & Consulting,1 Lakh+ Employees,Mumbai +154 more
Photon Interactive,4.0,1.3k,IT Services & Consulting,1k-5k Employees,London +10 more
CG Power and Industrial Solutions,3.9,1.2k,Electrical Equipment,1k-5k Employees,Mumbai +82 more
UBS,3.9,1.3k,Investment Banking / Venture Capital / Private Equity,5k-10k Employees,Zurich +30 more
HDFC Securities,3.7,1.2k,Financial Services,1k-5k Employees,Mumbai +163 more
Medanta the Medicity,4.1,1.2k,Healthcare,5k-10k Employees,Gurgaon +33 more
Relaxo Footwear,4.3,1.2k,Fashion & Textile,5k-10k Employees,New Delhi +128 more
Piramal Group,4.0,1.2k,Financial Services,10k-50k Employees,Mumbai +124 more
Hindustan Petroleum,4.3,1.3k,Oil & Gas,5k-10k Employees,Mumbai +203 more
Orange Business,4.3,1.2k,IT Services & Consulting,1k-5k Employees,Paris +46 more
Aadhar Housing Finance,4.1,1.2k,Financial Services,1k-5k Employees,Mumbai +254 more
BNP Paribas,3.9,1.3k,Financial Services,10k-50k Employees,Paris +22 more
FirstCry,3.8,1.3k,Retail,1k-5k Employees,Pune +148 more
Morgan Stanley,3.7,1.3k,Financial Services,10k-50k Employees,New York +17 more
First American Corporation,3.9,1.2k,Financial Services,1k-5k Employees,Santa Ana +14 more
NextComm Corporation,4.9,1.2k,1k-5k Employees,7 years old,Ahmedabad +11 more
Biocon Biologics,3.8,1.2k,Biotechnology,1k-5k Employees,Bangalore/Bengaluru +30 more
Aforeserve,3.5,1.2k,IT Services & Consulting,1k-5k Employees,Noida +147 more
Security and Intelligence Services (India),4.2,1.2k,Law Enforcement & Security,1 Lakh+ Employees,Delhi/NCR +160 more
Oracle Cerner,3.7,1.2k,IT Services & Consulting,5k-10k Employees,Kansas +5 more
Belrise Industries,3.8,1.2k,Auto Components,10k-50k Employees,Aurangabad +40 more
Emami,4.1,1.2k,Beauty & Personal Care,1k-5k Employees,Kolkata +150 more
Aon,3.9,1.2k,Financial Services,5k-10k Employees,London +19 more
IDC Technologies,3.3,1.2k,IT Services & Consulting,1k-5k Employees,Milpitas +56 more
Bata,3.9,1.2k,Fashion & Textile,1k-5k Employees,Lausanne +119 more
Exotic Learning,4.5,1.2k,EdTech,51-200 Employees,Lucknow +141 more
Fusion CX,3.2,1.2k,BPO,1k-5k Employees,Ohio +44 more
Hindustan Construction Company,4.3,1.2k,Engineering & Construction,1k-5k Employees,Mumbai +84 more
Dell EMC,4.2,1.2k,IT Services & Consulting,5k-10k Employees,Hopkinton +51 more
Toyota Kirloskar Motor,4.4,1.2k,Automobile,5k-10k Employees,Bangalore/Bengaluru +74 more
Marriott International,4.3,1.2k,Hospitality,10k-50k Employees,Bethesda +73 more
Tata Power,4.0,1.3k,Power,10k-50k Employees,Mumbai +120 more
KFC,4.2,1.2k,Hospitality,5k-10k Employees,Louisville +141 more
Mercer,3.8,1.2k,Management Consulting,1k-5k Employees,New York +17 more
Tesco,3.9,1.2k,Retail,1k-5k Employees,Hertfordshire +15 more
Narayana Educational Society,3.7,1.2k,Education & Training,1k-5k Employees,Hyderabad/Secunderabad +131 more
Trident Group,3.5,1.2k,Fashion & Textile,10k-50k Employees,Ludhiana +44 more
Faurecia,4.0,1.2k,Auto Components,1k-5k Employees,Nanterre +25 more
Trent,4.1,1.2k,Retail,10k-50k Employees,Mumbai +109 more
TaskUs,3.5,1.2k,BPO,5k-10k Employees,New Braunfels +23 more
Ola Electric Mobility,3.3,1.2k,Automobile,5k-10k Employees,Bangalore +173 more
Altruist Technologies,3.2,1.2k,BPO,1k-5k Employees,Chandigarh +30 more
Tata Advanced Systems,3.9,1.4k,Defence & Aerospace,5k-10k Employees,Hyderabad/Secunderabad +37 more
FedEx Express,4.2,1.2k,Logistics,5k-10k Employees,Moon Township +91 more
Iris Software,4.2,1.2k,IT Services & Consulting,1k-5k Employees,Edison +16 more
Polycab Wires,4.1,1.2k,Electrical Equipment,1k-5k Employees,Mumbai +123 more
Veritas Finance,4.7,1.2k,NBFC,1k-5k Employees,Chennai +260 more
L.G.Balakrishnan & Bros,3.7,1.2k,Auto Components,1k-5k Employees,Coimbatore +39 more
Marico,4.1,1.2k,FMCG,1k-5k Employees,Mumbai +151 more
Suguna Foods,4.1,1.2k,Food Processing,5k-10k Employees,Coimbatore +162 more
HTC Global Services,3.6,1.2k,IT Services & Consulting,5k-10k Employees,Troy +25 more
iOPEX Technologies,3.7,1.2k,IT Services & Consulting,1k-5k Employees,San Jose +15 more
NIIT,3.7,1.2k,Education & Training,1k-5k Employees,Gurgaon / Gurugram +96 more
Infinite Computer Solutions,3.5,1.2k,IT Services & Consulting,1k-5k Employees,Rockville  +28 more
Hero Motors Company,4.1,1.1k,Automobile,201-500 Employees,New Delhi +198 more
Muthoot Group,3.6,1.1k,Financial Services,10k-50k Employees,Wedel +271 more
Krishna Maruti,4.0,1.1k,Auto Components,1k-5k Employees,Gurgaon/Gurugram +33 more
Sony,4.4,1.1k,Consumer Electronics & Appliances,1k-5k Employees,Delhi/NCR +128 more
Jet Airways,4.6,1.1k,Aviation,201-500 Employees,Mumbai +45 more
Bajaj Capital,4.0,1.1k,Financial Services,1k-5k Employees,Delhi/NCR +146 more
Welspun,4.1,1.1k,Fashion & Textile,10k-50k Employees,Mumbai +60 more
Manipal Hospitals,4.2,1.2k,Healthcare,1k-5k Employees,Bangalore/Bengaluru +50 more
Oracle Financial Services Software,3.7,1.1k,IT Services & Consulting,10k-50k Employees,Mumbai +18 more
Pantaloons,4.2,1.1k,Fashion & Textile,5k-10k Employees,Mumbai +142 more
Satin Creditcare Network,4.1,1.1k,NBFC,5k-10k Employees,Gurgaon/Gurugram +238 more
Nayara Energy,4.3,1.1k,Petrochemicals,1k-5k Employees,Mumbai +78 more
Inox Leisure,4.1,1.1k,Media & Entertainment,1k-5k Employees,Mumbai +86 more
SRL Diagnostics,4.2,1.1k,Healthcare,5k-10k Employees,Mumbai +118 more
