company_name,ratings,reviews,company_type,Employee,Headquarters
Delhivery,4.0,5.3k,Logistics,10k-50k Employees,Delhi +634 more
Amazon Development Centre India,4.2,5.4k,Internet,10k-50k Employees,Hyderabad / Secunderabad +84 more
L&T Construction,4.1,5.2k,Engineering & Construction,5k-10k Employees,Chennai +362 more
JPMorgan Chase & Co.,4.1,5.3k,Financial Services,50k-1 Lakh Employees,New York +34 more
Sun Pharmaceutical Industries,4.1,5.1k,Pharma,10k-50k Employees,Mumbai +210 more
Hindustan Unilever,4.3,5.1k,FMCG,10k-50k Employees,London +439 more
FIS,3.9,5.1k,FinTech,10k-50k Employees,Jacksonville +45 more
ITC,4.0,5k,FMCG,10k-50k Employees,Kolkata +303 more
Udaan,4.0,4.9k,1k-5k Employees,Indian Unicorn,Bangalore +340 more
Hexaware Technologies,3.7,4.9k,IT Services & Consulting,10k-50k Employees,Mumbai +46 more
IIFL Finance,4.0,4.9k,NBFC,10k-50k Employees,Mumbai +673 more
JSW Steel,4.0,5k,Iron & Steel,10k-50k Employees,Mumbai +148 more
Ujjivan Small Finance Bank,4.1,4.7k,Banking,10k-50k Employees,Bangalore/Bengaluru +445 more
Muthoot Finance,3.6,4.6k,NBFC,10k-50k Employees,Kochi/Cochin +652 more
Max Life Insurance,4.2,4.6k,Insurance,10k-50k Employees,Gurgaon/Gurugram +401 more
Tata Projects,4.3,4.6k,Engineering & Construction,5k-10k Employees,Mumbai +239 more
Aurobindo Pharma,4.0,4.5k,Pharma,10k-50k Employees,Hyderabad/Secunderabad +94 more
KPMG India,3.6,4.6k,Management Consulting,10k-50k Employees,Bangalore / Bengaluru +75 more
Shapoorji Pallonji Group,4.2,4.5k,Engineering & Construction,5k-10k Employees,Mumbai +167 more
Oracle,3.8,4.6k,Software Product,50k-1 Lakh Employees,Austin +47 more
Home Credit Finance,4.1,4.4k,Financial Services,10k-50k Employees,Gurugram +117 more
eClerx,3.5,4.4k,IT Services & Consulting,10k-50k Employees,Mumbai +17 more
Apollo Hospitals,4.2,4.4k,Healthcare,10k-50k Employees,Chennai +191 more
Ashok Leyland,4.1,4.3k,Automobile,5k-10k Employees,Chennai +218 more
Omega Healthcare,3.8,4.4k,Healthcare,10k-50k Employees,Florida +47 more
Siemens,4.2,4.3k,Industrial Automation,5k-10k Employees,Munich +129 more
JLL,4.2,4.3k,Real Estate,10k-50k Employees,Mumbai +72 more
Megha Engineering & Infrastructures,4.0,4.4k,Engineering & Construction,5k-10k Employees,Hyderabad/Secunderabad +301 more
Vivo,4.1,4.2k,Consumer Electronics & Appliances,5k-10k Employees,Gurgaon/Gurugram +376 more
First Source,3.8,4.2k,BPO,10k-50k Employees,Mumbai +55 more
JustDial,3.6,4.2k,Internet,10k-50k Employees,Mumbai +182 more
Bajaj Allianz Life Insurance,4.1,4.2k,Insurance,10k-50k Employees,Pune +510 more
Hero MotoCorp,4.2,4.1k,Automobile,5k-10k Employees,Gurgaon/Gurugram +320 more
OPPO,4.0,4.1k,Consumer Electronics & Appliances,10k-50k Employees,Dongguan +363 more
